
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;16E0607: Lousã;17158;8291;8867;
;16E0111: Mealhada;19914;9391;10523;
;16E0608: Mira;11832;5601;6231;
;16E0609: Miranda do Corvo;12708;6082;6626;
;16E0610: Montemor-o-Velho;25224;12036;13188;
;16E1808: Mortágua;8803;4087;4716;
;16E0611: Oliveira do Hospital;19253;9179;10074;
;16E0612: Pampilhosa da Serra;4037;1863;2174;
;16E0613: Penacova;13694;6410;7284;
;16E0614: Penela;5397;2522;2875;
;16E0615: Soure;17120;8064;9056;
;16E0616: Tábua;11368;5468;5900;
;16E0617: Vila Nova de Poiares;6939;3282;3657;
;16F: Região de Leiria;284702;135779;148923;
;16F1002: Alvaiázere;6597;3064;3533;
;16F1003: Ansião;12039;5666;6373;
;16F1004: Batalha;15963;7601;8362;
;16F1007: Castanheira de Pêra;2614;1201;1413;
;16F1008: Figueiró dos Vinhos;5568;2585;2983;
;16F1009: Leiria;125267;60021;65246;
;16F1010: Marinha Grande;38508;18222;20286;
;16F1013: Pedrógão Grande;3410;1614;1796;
;16F1015: Pombal;51461;24518;26943;
;16F1016: Porto de Mós;23275;11287;11988;
;16G: Viseu Dão Lafões;251628;118602;133026;
;16G0901: Aguiar da Beira;4652;2143;2509;
;16G1802: Carregal do Sal;9271;4403;4868;
;16G1803: Castro Daire;13823;6581;7242;
;16G1806: Mangualde;18510;8931;9579;
;16G1809: Nelas;12974;6102;6872;
;16G1810: Oliveira de Frades;9936;4723;5213;
;16G1811: Penalva do Castelo;7115;3390;3725;
;16G1814: Santa Comba Dão;10452;4842;5610;
;16G1816: São Pedro do Sul;15403;7234;8169;
;16G1817: Sátão;11580;5468;6112;
;16G1821: Tondela;26357;12482;13875;
;16G1822: Vila Nova de Paiva;4687;2214;2473;
;16G1823: Viseu;97249;45553;51696;
;16G1824: Vouzela;9619;4536;5083;
;16H: Beira Baixa;80230;38052;42178;
;16H0502: Castelo Branco;51987;24661;27326;
;16H0505: Idanha-a-Nova;8043;3813;4230;
;16H0506: Oleiros;5003;2338;2665;
;16H0507: Penamacor;4755;2350;2405;
;16H0508: Proença-a-Nova;7298;3439;3859;
;16H0511: Vila Velha de Ródão;3144;1451;1693;
;16I: Médio Tejo;232580;110136;122444;
;16I1401: Abrantes;35130;16777;18353;
;16I1402: Alcanena;12809;6097;6712;
;16I1408: Constância;4030;1856;2174;
;16I1410: Entroncamento;21558;10096;11462;
;16I1411: Ferreira do Zêzere;7959;3745;4214;
;16I1413: Mação;6267;2971;3296;
;16I1421: Ourém;44044;20862;23182;
;16I1417: Sardoal;3741;1796;1945;
;16I0509: Sertã;14577;6881;7696;
;16I1418: Tomar;36748;17374;19374;
;16I1419: Torres Novas;34933;16595;18338;
;16I0510: Vila de Rei;3323;1492;1831;
;16I1420: Vila Nova da Barquinha;7461;3594;3867;
;16J: Beiras e Serra da Estrela;211705;99936;111769;
;16J0902: Almeida;5830;2688;3142;
;16J0501: Belmonte;6398;3050;3348;
;16J0903: Celorico da Beira;6928;3233;3695;
;16J0503: Covilhã;46787;22180;24607;
;16J0904: Figueira de Castelo Rodrigo;5584;2671;2913;
;16J0905: Fornos de Algodres;4528;2067;2461;
;16J0504: Fundão;26495;12630;13865;
;16J0906: Gouveia;12387;5618;6769;
;16J0907: Guarda;38969;18535;20434;
;16J0908: Manteigas;3007;1414;1593;
;16J0909: Mêda;4587;2182;2405;
;16J0910: Pinhel;8511;3976;4535;
;16J0911: Sabugal;10585;4961;5624;
;16J0912: Seia;22234;10512;11722;
;16J0913: Trancoso;8875;4219;4656;
;17: Área Metropolitana de Lisboa;2863272;1337420;1525852;
;170: Área Metropolitana de Lisboa;2863272;1337420;1525852;
;1701502: Alcochete;19787;9471;10316;
;1701503: Almada;169039;78693;90346;
;1701115: Amadora;184106;85280;98826;
;1701504: Barreiro;75147;34792;40355;
