
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;1810211: Odemira;24621;12120;12501;
;1811509: Santiago do Cacém;28725;13922;14803;
;1811513: Sines;13631;6601;7030;
;184: Baixo Alentejo;116557;56430;60127;
;1840201: Aljustrel;8285;4026;4259;
;1840202: Almodôvar;6746;3247;3499;
;1840203: Alvito;2462;1182;1280;
;1840204: Barrancos;1645;805;840;
;1840205: Beja;33550;16333;17217;
;1840206: Castro Verde;6946;3385;3561;
;1840207: Cuba;4599;2209;2390;
;1840208: Ferreira do Alentejo;7848;3778;4070;
;1840209: Mértola;6202;2967;3235;
;1840210: Moura;13749;6638;7111;
;1840212: Ourique;4653;2242;2411;
;1840213: Serpa;14374;7008;7366;
;1840214: Vidigueira;5498;2610;2888;
;185: Lezíria do Tejo;237318;113711;123607;
;1851403: Almeirim;22569;10566;12003;
;1851404: Alpiarça;7087;3426;3661;
;1851103: Azambuja;22445;11907;10538;
;1851405: Benavente;30214;14487;15727;
;1851406: Cartaxo;23740;11286;12454;
;1851407: Chamusca;9253;4413;4840;
;1851409: Coruche;17629;8289;9340;
;1851412: Golegã;5375;2459;2916;
;1851414: Rio Maior;20340;9734;10606;
;1851415: Salvaterra de Magos;21268;10068;11200;
;1851416: Santarém;57398;27076;30322;
;186: Alto Alentejo;105479;50064;55415;
;1861201: Alter do Chão;3191;1517;1674;
;1861202: Arronches;2860;1352;1508;
;1861203: Avis;4249;2013;2236;
;1861204: Campo Maior;7907;3804;4103;
;1861205: Castelo de Vide;2951;1386;1565;
;1861206: Crato;3185;1472;1713;
;1861207: Elvas;20706;9811;10895;
;1861208: Fronteira;2986;1349;1637;
;1861209: Gavião;3347;1575;1772;
;1861210: Marvão;3054;1489;1565;
;1861211: Monforte;2989;1363;1626;
;1861212: Nisa;6149;2907;3242;
;1861213: Ponte de Sor;15092;7203;7889;
;1861214: Portalegre;22359;10709;11650;
;1861215: Sousel;4454;2114;2340;
;187: Alentejo Central;152865;72870;79995;
;1870701: Alandroal;5064;2435;2629;
;1870702: Arraiolos;6944;3352;3592;
;1870703: Borba;6790;3286;3504;
;1870704: Estremoz;12816;6079;6737;
;1870705: Évora;52454;24600;27854;
;1870706: Montemor-o-Novo;15740;7540;8200;
;1870707: Mora;4188;1994;2194;
;1870708: Mourão;2456;1223;1233;
;1870709: Portel;5870;2896;2974;
;1870710: Redondo;6387;3052;3335;
;1870711: Reguengos de Monsaraz;10036;4915;5121;
;1870712: Vendas Novas;11259;5289;5970;
;1870713: Viana do Alentejo;5142;2484;2658;
;1870714: Vila Viçosa;7719;3725;3994;
;15: Algarve;438864;209887;228977;
;150: Algarve;438864;209887;228977;
;1500801: Albufeira;41123;19813;21310;
;1500802: Alcoutim;2244;1070;1174;
;1500803: Aljezur;5599;2708;2891;
;1500804: Castro Marim;6274;3052;3222;
;1500805: Faro;60974;28999;31975;
;1500806: Lagoa;22748;10979;11769;
;1500807: Lagos;30442;14436;16006;
;1500808: Loulé;68873;32945;35928;
;1500809: Monchique;5182;2518;2664;
;1500810: Olhão;44607;21267;23340;
;1500811: Portimão;55416;26261;29155;
;1500812: São Brás de Alportel;10416;5073;5343;
;1500813: Silves;36174;17742;18432;
;1500814: Tavira;24750;11704;13046;
;1500815: Vila do Bispo;5154;2500;2654;
;1500816: Vila Real de Santo António;18888;8820;10068;
;2: Região Autónoma dos Açores;242846;118125;124721;
;20: Região Autónoma dos Açores;242846;118125;124721;
;200: Região Autónoma dos Açores;242846;118125;124721;
;2004301: Angra do Heroísmo;33903;16235;17668;
;2004501: Calheta;3205;1595;1610;
;2004901: Corvo;465;263;202;
;2004701: Horta;14542;7062;7480;
;2004201: Lagoa;14681;7173;7508;
;2004801: Lajes das Flores;1464;779;685;
;2004601: Lajes do Pico;4498;2157;2341;
;2004602: Madalena;5875;2787;3088;
;2004202: Nordeste;4875;2408;2467;
;2004203: Ponta Delgada;67864;32775;35089;
;2004204: Povoação;5954;2838;3116;
;2004205: Ribeira Grande;32698;16314;16384;
;2004401: Santa Cruz da Graciosa;4225;2050;2175;
;2004802: Santa Cruz das Flores;2164;1039;1125;
;2004603: São Roque do Pico;3264;1604;1660;
;2004502: Velas;5137;2544;2593;
;2004302: Vila da Praia da Vitória;21331;10385;10946;
;2004101: Vila do Porto;5623;2672;2951;
;2004206: Vila Franca do Campo;11078;5445;5633;
;3: Região Autónoma da Madeira;253945;118585;135360;
;30: Região Autónoma da Madeira;253945;118585;135360;
;300: Região Autónoma da Madeira;253945;118585;135360;
;3003101: Calheta;10865;4931;5934;
;3003102: Câmara de Lobos;33732;16029;17703;
;3003103: Funchal;104129;47886;56243;
;3003104: Machico;20094;9656;10438;
;3003105: Ponta do Sol;8544;3887;4657;
;3003106: Porto Moniz;2350;986;1364;
;3003201: Porto Santo;5176;2538;2638;
;3003107: Ribeira Brava;12411;5625;6786;
;3003108: Santa Cruz;44744;21628;23116;
;3003109: Santana;6750;3054;3696;
;3003110: São Vicente;5150;2365;2785;
2017;PT: Portugal;10291027;4867692;5423335;
;1: Continente;9792797;4630471;5162326;
;11: Norte;3576205;1692442;1883763;
;111: Alto Minho;232178;107595;124583;
;1111601: Arcos de Valdevez;21144;9589;11555;
;1111602: Caminha;15897;7273;8624;
;1111603: Melgaço;8250;3606;4644;
;1111604: Monção;18042;8154;9888;
;1111605: Paredes de Coura;8617;4075;4542;
;1111606: Ponte da Barca;11287;5152;6135;
;1111607: Ponte de Lima;41724;19487;22237;
;1111608: Valença;13341;6185;7156;
;1111609: Viana do Castelo;85017;39866;45151;
;1111610: Vila Nova de Cerveira;8859;4208;4651;
;112: Cávado;403953;192003;211950;
;1120301: Amares;18147;8746;9401;
;1120302: Barcelos;117007;55930;61077;
;1120303: Braga;181382;85643;95739;
;1120306: Esposende;33977;16093;17884;
;1120310: Terras de Bouro;6487;3093;3394;
;1120313: Vila Verde;46953;22498;24455;
;119: Ave;413854;197879;215975;
;1190304: Cabeceiras de Basto;15819;7623;8196;
;1190307: Fafe;48577;22726;25851;
;1190308: Guimarães;153294;73580;79714;
;1191705: Mondim de Basto;7013;3364;3649;
;1190309: Póvoa de Lanhoso;21464;10181;11283;
;1190311: Vieira do Minho;12018;5737;6281;
;1190312: Vila Nova de Famalicão;131909;63161;68748;
;1190314: Vizela;23760;11507;12253;
;11A: Área Metropolitana do Porto;1719702;809502;910200;
;11A0104: Arouca;21039;9983;11056;
;11A0107: Espinho;29533;13806;15727;
;11A1304: Gondomar;165626;78595;87031;
;11A1306: Maia;136769;64726;72043;
;11A1308: Matosinhos;173753;81474;92279;
;11A0113: Oliveira de Azeméis;66258;31585;34673;
;11A1310: Paredes;86115;41715;44400;
;11A1312: Porto;214587;96545;118042;
;11A1313: Póvoa de Varzim;62376;29306;33070;
;11A0109: Santa Maria da Feira;138613;66233;72380;
;11A1314: Santo Tirso;68524;32367;36157;
;11A0116: São João da Madeira;21581;10087;11494;
;11A1318: Trofa;38257;18159;20098;
;11A0119: Vale de Cambra;21525;10290;11235;
;11A1315: Valongo;95908;45285;50623;
;11A1316: Vila do Conde;79418;37997;41421;
;11A1317: Vila Nova de Gaia;299820;141349;158471;
;11B: Alto Tâmega;87157;41113;46044;
;11B1702: Boticas;5139;2419;2720;
;11B1703: Chaves;39500;18722;20778;
;11B1706: Montalegre;9222;4329;4893;
;11B1709: Ribeira de Pena;6088;2968;3120;
;11B1712: Valpaços;15111;6966;8145;
;11B1713: Vila Pouca de Aguiar;12097;5709;6388;
;11C: Tâmega e Sousa;418768;201769;216999;
;11C1301: Amarante;53614;25448;28166;
;11C1302: Baião;19051;9101;9950;
;11C0106: Castelo de Paiva;15679;7595;8084;
;11C0305: Celorico de Basto;19186;9219;9967;
;11C1804: Cinfães;18653;9003;9650;
;11C1303: Felgueiras;56726;27056;29670;
;11C1305: Lousada;46839;22505;24334;
;11C1307: Marco de Canaveses;51871;25030;26841;
;11C1309: Paços de Ferreira;56705;28136;28569;
;11C1311: Penafiel;70078;33675;36403;
;11C1813: Resende;10366;5001;5365;
;11D: Douro;192046;90904;101142;
;11D1701: Alijó;10807;5104;5703;
;11D1801: Armamar;5838;2718;3120;
;11D0403: Carrazeda de Ansiães;5730;2687;3043;
;11D0404: Freixo de Espada à Cinta;3358;1555;1803;
;11D1805: Lamego;25090;11903;13187;
;11D1704: Mesão Frio;4018;1840;2178;
;11D1807: Moimenta da Beira;9745;4654;5091;
;11D1707: Murça;5514;2621;2893;
;11D1812: Penedono;2643;1253;1390;
;11D1708: Peso da Régua;15927;7422;8505;
;11D1710: Sabrosa;5938;2828;3110;
;11D1711: Santa Marta de Penaguião;6705;3141;3564;
;11D1815: São João da Pesqueira;7205;3523;3682;
;11D1818: Sernancelhe;5401;2603;2798;
;11D1819: Tabuaço;6039;2849;3190;
;11D1820: Tarouca;7743;3715;4028;
;11D0409: Torre de Moncorvo;7797;3671;4126;
;11D0914: Vila Nova de Foz Côa;6597;3091;3506;
;11D1714: Vila Real;49951;23726;26225;
;11E: Terras de Trás-os-Montes;108547;51677;56870;
;11E0401: Alfândega da Fé;4584;2201;2383;
;11E0402: Bragança;33668;16154;17514;
;11E0405: Macedo de Cavaleiros;14643;6838;7805;
;11E0406: Miranda do Douro;6929;3366;3563;
;11E0407: Mirandela;21963;10247;11716;
;11E0408: Mogadouro;8573;4138;4435;
;11E0410: Vila Flor;6126;2895;3231;
;11E0411: Vimioso;4092;1973;2119;
;11E0412: Vinhais;7969;3865;4104;
;16: Centro;2231346;1056975;1174371;
;16B: Oeste;357706;171301;186405;
;16B1001: Alcobaça;54124;25897;28227;
;16B1101: Alenquer;43493;21019;22474;
;16B1102: Arruda dos Vinhos;14925;7202;7723;
;16B1005: Bombarral;12582;6057;6525;
;16B1104: Cadaval;13717;6604;7113;
;16B1006: Caldas da Rainha;51605;24353;27252;
;16B1108: Lourinhã;25674;12353;13321;
;16B1011: Nazaré;14268;6713;7555;
;16B1012: Óbidos;11709;5654;6055;
;16B1014: Peniche;26683;12725;13958;
;16B1112: Sobral de Monte Agraço;10408;5111;5297;
;16B1113: Torres Vedras;78518;37613;40905;
;16D: Região de Aveiro;363095;172169;190926;
;16D0101: Águeda;46333;22192;24141;
;16D0102: Albergaria-a-Velha;24260;11583;12677;
;16D0103: Anadia;27576;13125;14451;
;16D0105: Aveiro;77630;36261;41369;
;16D0108: Estarreja;26074;12469;13605;
;16D0110: Ílhavo;38453;18088;20365;
;16D0112: Murtosa;10307;4966;5341;
;16D0114: Oliveira do Bairro;23847;11276;12571;
;16D0115: Ovar;54318;25896;28422;
;16D0117: Sever do Vouga;11544;5553;5991;
;16D0118: Vagos;22753;10760;11993;
;16E: Região de Coimbra;436948;205294;231654;
;16E0601: Arganil;11181;5279;5902;
;16E0602: Cantanhede;35348;16762;18586;
;16E0603: Coimbra;134156;62204;71952;
;16E0604: Condeixa-a-Nova;17583;8203;9380;
;16E0605: Figueira da Foz;59393;27916;31477;
;16E0606: Góis;3890;1794;2096;
;16E0607: Lousã;17190;8291;8899;
;16E0111: Mealhada;19999;9414;10585;
;16E0608: Mira;11932;5624;6308;
;16E0609: Miranda do Corvo;12777;6115;6662;
;16E0610: Montemor-o-Velho;25399;12149;13250;
;16E1808: Mortágua;8948;4159;4789;
;16E0611: Oliveira do Hospital;19564;9327;10237;
;16E0612: Pampilhosa da Serra;4086;1884;2202;
;16E0613: Penacova;13999;6534;7465;
;16E0614: Penela;5485;2555;2930;
;16E0615: Soure;17520;8266;9254;
;16E0616: Tábua;11529;5528;6001;
;16E0617: Vila Nova de Poiares;6969;3290;3679;
;16F: Região de Leiria;286309;136525;149784;
;16F1002: Alvaiázere;6710;3111;3599;
;16F1003: Ansião;12270;5766;6504;
;16F1004: Batalha;15852;7546;8306;
;16F1007: Castanheira de Pêra;2688;1240;1448;
;16F1008: Figueiró dos Vinhos;5696;2657;3039;
;16F1009: Leiria;125307;60034;65273;
;16F1010: Marinha Grande;38527;18231;20296;
;16F1013: Pedrógão Grande;3479;1643;1836;
;16F1015: Pombal;52324;24950;27374;
;16F1016: Porto de Mós;23456;11347;12109;
;16G: Viseu Dão Lafões;254631;119952;134679;
;16G0901: Aguiar da Beira;4831;2234;2597;
;16G1802: Carregal do Sal;9367;4430;4937;
;16G1803: Castro Daire;14159;6758;7401;
;16G1806: Mangualde;18827;9082;9745;
;16G1809: Nelas;13201;6200;7001;
;16G1810: Oliveira de Frades;9955;4705;5250;
;16G1811: Penalva do Castelo;7283;3472;3811;
;16G1814: Santa Comba Dão;10640;4929;5711;
;16G1816: São Pedro do Sul;15685;7329;8356;
;16G1817: Sátão;11743;5554;6189;
;16G1821: Tondela;26942;12724;14218;
;16G1822: Vila Nova de Paiva;4792;2260;2532;
;16G1823: Viseu;97423;45654;51769;
;16G1824: Vouzela;9783;4621;5162;
;16H: Beira Baixa;81814;38753;43061;
;16H0502: Castelo Branco;52703;24973;27730;
;16H0505: Idanha-a-Nova;8360;3949;4411;
;16H0506: Oleiros;5120;2392;2728;
;16H0507: Penamacor;4920;2405;2515;
;16H0508: Proença-a-Nova;7505;3545;3960;
;16H0511: Vila Velha de Ródão;3206;1489;1717;
;16I: Médio Tejo;234655;110956;123699;
;16I1401: Abrantes;35839;17121;18718;
;16I1402: Alcanena;12961;6148;6813;
;16I1408: Constância;3998;1847;2151;
;16I1410: Entroncamento;21035;9859;11176;
;16I1411: Ferreira do Zêzere;8056;3787;4269;
;16I1413: Mação;6452;3059;3393;
;16I1421: Ourém;44406;21011;23395;
;16I1417: Sardoal;3778;1812;1966;
;16I0509: Sertã;14854;6995;7859;
;16I1418: Tomar;37351;17600;19751;
;16I1419: Torres Novas;35208;16673;18535;
;16I0510: Vila de Rei;3336;1500;1836;
;16I1420: Vila Nova da Barquinha;7381;3544;3837;
;16J: Beiras e Serra da Estrela;216188;102025;114163;
;16J0902: Almeida;6062;2793;3269;
;16J0501: Belmonte;6460;3082;3378;
;16J0903: Celorico da Beira;7064;3288;3776;
;16J0503: Covilhã;47660;22606;25054;
;16J0904: Figueira de Castelo Rodrigo;5733;2740;2993;
;16J0905: Fornos de Algodres;4646;2128;2518;
;16J0504: Fundão;27039;12884;14155;
;16J0906: Gouveia;12711;5798;6913;
;16J0907: Guarda;39486;18719;20767;
;16J0908: Manteigas;3094;1456;1638;
;16J0909: Mêda;4689;2227;2462;
;16J0910: Pinhel;8727;4095;4632;
;16J0911: Sabugal;11003;5162;5841;
;16J0912: Seia;22742;10733;12009;
;16J0913: Trancoso;9072;4314;4758;
;17: Área Metropolitana de Lisboa;2833679;1328244;1505435;
;170: Área Metropolitana de Lisboa;2833679;1328244;1505435;
;1701502: Alcochete;19285;9221;10064;
;1701503: Almada;169152;79169;89983;
;1701115: Amadora;179942;83722;96220;
;1701504: Barreiro;75715;35218;40497;
;1701105: Cascais;211714;98312;113402;
;1701106: Lisboa;506088;231789;274299;
;1701107: Loures;209442;99058;110384;
;1701109: Mafra;83289;40238;43051;
;1701506: Moita;64616;30396;34220;
;1701507: Montijo;56305;27254;29051;
;1701116: Odivelas;157829;74066;83763;
;1701110: Oeiras;175224;80889;94335;
;1701508: Palmela;64230;30729;33501;
;1701510: Seixal;165971;78499;87472;
;1701511: Sesimbra;51282;24959;26323;
;1701512: Setúbal;116330;54975;61355;
;1701111: Sintra;386038;182593;203445;
;1701114: Vila Franca de Xira;141227;67157;74070;
;18: Alentejo;711950;342912;369038;
;181: Alentejo Litoral;93774;46223;47551;
;1811501: Alcácer do Sal;11853;5642;6211;
;1811505: Grândola;14626;7621;7005;
;1810211: Odemira;24741;12244;12497;
;1811509: Santiago do Cacém;28892;14056;14836;
;1811513: Sines;13662;6660;7002;
;184: Baixo Alentejo;117868;57199;60669;
;1840201: Aljustrel;8396;4104;4292;
;1840202: Almodôvar;6813;3300;3513;
;1840203: Alvito;2459;1180;1279;
;1840204: Barrancos;1669;815;854;
;1840205: Beja;33804;16461;17343;
;1840206: Castro Verde;7010;3426;3584;
;1840207: Cuba;4657;2243;2414;
;1840208: Ferreira do Alentejo;7915;3823;4092;
;1840209: Mértola;6319;3041;3278;
;1840210: Moura;13928;6740;7188;
;1840212: Ourique;4735;2292;2443;
;1840213: Serpa;14620;7137;7483;
;1840214: Vidigueira;5543;2637;2906;
;185: Lezíria do Tejo;238715;114666;124049;
;1851403: Almeirim;22782;10697;12085;
;1851404: Alpiarça;7155;3468;3687;
;1851103: Azambuja;22358;11849;10509;
;1851405: Benavente;30073;14475;15598;
;1851406: Cartaxo;23855;11362;12493;
;1851407: Chamusca;9385;4481;4904;
;1851409: Coruche;17980;8493;9487;
;1851412: Golegã;5447;2508;2939;
;1851414: Rio Maior;20437;9815;10622;
;1851415: Salvaterra de Magos;21420;10183;11237;
;1851416: Santarém;57823;27335;30488;
;186: Alto Alentejo;107057;50965;56092;
;1861201: Alter do Chão;3229;1540;1689;
;1861202: Arronches;2910;1391;1519;
;1861203: Avis;4288;2031;2257;
;1861204: Campo Maior;8022;3880;4142;
;1861205: Castelo de Vide;3012;1426;1586;
;1861206: Crato;3251;1503;1748;
;1861207: Elvas;20998;9976;11022;
;1861208: Fronteira;3012;1365;1647;
;1861209: Gavião;3446;1624;1822;
;1861210: Marvão;3124;1524;1600;
;1861211: Monforte;3025;1388;1637;
;1861212: Nisa;6292;2976;3316;
;1861213: Ponte de Sor;15285;7327;7958;
;1861214: Portalegre;22627;10858;11769;
;1861215: Sousel;4536;2156;2380;
;187: Alentejo Central;154536;73859;80677;
;1870701: Alandroal;5164;2487;2677;
;1870702: Arraiolos;6999;3383;3616;
;1870703: Borba;6879;3345;3534;
;1870704: Estremoz;12975;6176;6799;
;1870705: Évora;52874;24858;28016;
;1870706: Montemor-o-Novo;15942;7656;8286;
;1870707: Mora;4283;2046;2237;
;1870708: Mourão;2484;1239;1245;
;1870709: Portel;5938;2929;3009;
;1870710: Redondo;6475;3099;3376;
;1870711: Reguengos de Monsaraz;10128;4968;5160;
;1870712: Vendas Novas;11381;5369;6012;
;1870713: Viana do Alentejo;5200;2514;2686;
;1870714: Vila Viçosa;7814;3790;4024;
;15: Algarve;439617;209898;229719;
;150: Algarve;439617;209898;229719;
;1500801: Albufeira;40824;19623;21201;
;1500802: Alcoutim;2318;1114;1204;
;1500803: Aljezur;5585;2694;2891;
;1500804: Castro Marim;6336;3092;3244;
;1500805: Faro;60920;28891;32029;
;1500806: Lagoa;22753;10958;11795;
;1500807: Lagos;30543;14470;16073;
;1500808: Loulé;69044;32999;36045;
;1500809: Monchique;5278;2565;2713;
;1500810: Olhão;44849;21336;23513;
;1500811: Portimão;55331;26182;29149;
;1500812: São Brás de Alportel;10459;5081;5378;
;1500813: Silves;36258;17723;18535;
;1500814: Tavira;25014;11821;13193;
;1500815: Vila do Bispo;5161;2500;2661;
;1500816: Vila Real de Santo António;18944;8849;10095;
;2: Região Autónoma dos Açores;243862;118810;125052;
;20: Região Autónoma dos Açores;243862;118810;125052;
;200: Região Autónoma dos Açores;243862;118810;125052;
;2004301: Angra do Heroísmo;34105;16357;17748;
;2004501: Calheta;3236;1611;1625;
;2004901: Corvo;462;262;200;
;2004701: Horta;14640;7122;7518;
;2004201: Lagoa;14693;7199;7494;
;2004801: Lajes das Flores;1485;790;695;
;2004601: Lajes do Pico;4550;2198;2352;
;2004602: Madalena;5909;2819;3090;
;2004202: Nordeste;4907;2421;2486;
;2004203: Ponta Delgada;68055;32914;35141;
;2004204: Povoação;5995;2864;3131;
;2004205: Ribeira Grande;32721;16354;16367;
;2004401: Santa Cruz da Graciosa;4267;2071;2196;
;2004802: Santa Cruz das Flores;2177;1045;1132;
;2004603: São Roque do Pico;3278;1622;1656;
;2004502: Velas;5171;2568;2603;
;2004302: Vila da Praia da Vitória;21414;10426;10988;
;2004101: Vila do Porto;5649;2686;2963;
;2004206: Vila Franca do Campo;11148;5481;5667;
;3: Região Autónoma da Madeira;254368;118411;135957;
;30: Região Autónoma da Madeira;254368;118411;135957;
;300: Região Autónoma da Madeira;254368;118411;135957;
;3003101: Calheta;10901;4927;5974;
;3003102: Câmara de Lobos;33847;16052;17795;
;3003103: Funchal;104442;47882;56560;
;3003104: Machico;20272;9703;10569;
;3003105: Ponta do Sol;8559;3874;4685;
;3003106: Porto Moniz;2370;992;1378;
;3003201: Porto Santo;5173;2536;2637;
;3003107: Ribeira Brava;12428;5612;6816;
;3003108: Santa Cruz;44417;21418;22999;
;3003109: Santana;6808;3062;3746;
;3003110: São Vicente;5151;2353;2798;
2016;PT: Portugal;10309573;4882456;5427117;
;1: Continente;9809414;4643917;5165497;
;11: Norte;3584575;1699787;1884788;
;111: Alto Minho;233813;108517;125296;
;1111601: Arcos de Valdevez;21324;9689;11635;
;1111602: Caminha;15971;7313;8658;
;1111603: Melgaço;8400;3691;4709;
;1111604: Monção;18192;8228;9964;
;1111605: Paredes de Coura;8712;4128;4584;
;1111606: Ponte da Barca;11392;5210;6182;
;1111607: Ponte de Lima;42060;19676;22384;
;1111608: Valença;13437;6231;7206;
;1111609: Viana do Castelo;85445;40128;45317;
;1111610: Vila Nova de Cerveira;8880;4223;4657;
;112: Cávado;404664;192668;211996;
;1120301: Amares;18182;8771;9411;
;1120302: Barcelos;117683;56353;61330;
;1120303: Braga;181182;85730;95452;
;1120306: Esposende;33947;16085;17862;
;1120310: Terras de Bouro;6560;3130;3430;
;1120313: Vila Verde;47110;22599;24511;
;119: Ave;415671;199180;216491;
;1190304: Cabeceiras de Basto;15959;7720;8239;
;1190307: Fafe;48906;22925;25981;
;1190308: Guimarães;153995;74082;79913;
;1191705: Mondim de Basto;7079;3401;3678;
;1190309: Póvoa de Lanhoso;21521;10221;11300;
;1190311: Vieira do Minho;12134;5805;6329;
;1190312: Vila Nova de Famalicão;132337;63508;68829;
;1190314: Vizela;23740;11518;12222;
;11A: Área Metropolitana do Porto;1719021;810675;908346;
;11A0104: Arouca;21211;10103;11108;
;11A0107: Espinho;29560;13845;15715;
;11A1304: Gondomar;165743;78827;86916;
;11A1306: Maia;136011;64473;71538;
;11A1308: Matosinhos;173339;81400;91939;
;11A0113: Oliveira de Azeméis;66496;31774;34722;
;11A1310: Paredes;86263;41889;44374;
;11A1312: Porto;214119;96394;117725;
;11A1313: Póvoa de Varzim;62344;29327;33017;
;11A0109: Santa Maria da Feira;138867;66504;72363;
;11A1314: Santo Tirso;68983;32663;36320;
;11A0116: São João da Madeira;21460;10044;11416;
;11A1318: Trofa;38210;18203;20007;
;11A0119: Vale de Cambra;21676;10384;11292;
;11A1315: Valongo;95411;45167;50244;
;11A1316: Vila do Conde;79327;38005;41322;
;11A1317: Vila Nova de Gaia;300001;141673;158328;
;11B: Alto Tâmega;87941;41636;46305;
;11B1702: Boticas;5217;2460;2757;
;11B1703: Chaves;39682;18867;20815;
;11B1706: Montalegre;9337;4402;4935;
;11B1709: Ribeira de Pena;6144;3003;3141;
;11B1712: Valpaços;15336;7105;8231;
;11B1713: Vila Pouca de Aguiar;12225;5799;6426;
;11C: Tâmega e Sousa;420854;203184;217670;
;11C1301: Amarante;53947;25669;28278;
;11C1302: Baião;19255;9213;10042;
;11C0106: Castelo de Paiva;15797;7667;8130;
;11C0305: Celorico de Basto;19341;9328;10013;
;11C1804: Cinfães;18897;9126;9771;
;11C1303: Felgueiras;56950;27233;29717;
;11C1305: Lousada;46900;22610;24290;
;11C1307: Marco de Canaveses;52110;25203;26907;
;11C1309: Paços de Ferreira;56838;28210;28628;
;11C1311: Penafiel;70333;33861;36472;
;11C1813: Resende;10486;5064;5422;
;11D: Douro;193202;91693;101509;
;11D1701: Alijó;10933;5191;5742;
;11D1801: Armamar;5876;2739;3137;
;11D0403: Carrazeda de Ansiães;5795;2736;3059;
;11D0404: Freixo de Espada à Cinta;3409;1585;1824;
;11D1805: Lamego;25219;11997;13222;
;11D1704: Mesão Frio;4058;1863;2195;
;11D1807: Moimenta da Beira;9778;4671;5107;
;11D1707: Murça;5558;2646;2912;
;11D1812: Penedono;2683;1277;1406;
;11D1708: Peso da Régua;16037;7501;8536;
;11D1710: Sabrosa;5956;2852;3104;
;11D1711: Santa Marta de Penaguião;6763;3169;3594;
;11D1815: São João da Pesqueira;7269;3556;3713;
;11D1818: Sernancelhe;5437;2620;2817;
;11D1819: Tabuaço;6081;2883;3198;
;11D1820: Tarouca;7752;3729;4023;
;11D0409: Torre de Moncorvo;7853;3716;4137;
;11D0914: Vila Nova de Foz Côa;6673;3127;3546;
;11D1714: Vila Real;50072;23835;26237;
;11E: Terras de Trás-os-Montes;109409;52234;57175;
;11E0401: Alfândega da Fé;4630;2233;2397;
;11E0402: Bragança;33766;16234;17532;
;11E0405: Macedo de Cavaleiros;14722;6897;7825;
;11E0406: Miranda do Douro;7029;3418;3611;
;11E0407: Mirandela;22141;10367;11774;
;11E0408: Mogadouro;8674;4199;4475;
;11E0410: Vila Flor;6170;2932;3238;
;11E0411: Vimioso;4173;2021;2152;
;11E0412: Vinhais;8104;3933;4171;
;16: Centro;2243934;1063284;1180650;
;16B: Oeste;358029;171564;186465;
;16B1001: Alcobaça;54628;26170;28458;
;16B1101: Alenquer;43287;20931;22356;
;16B1102: Arruda dos Vinhos;14703;7104;7599;
;16B1005: Bombarral;12603;6061;6542;
;16B1104: Cadaval;13783;6650;7133;
;16B1006: Caldas da Rainha;51557;24300;27257;
;16B1108: Lourinhã;25619;12338;13281;
;16B1011: Nazaré;14350;6767;7583;
;16B1012: Óbidos;11656;5621;6035;
;16B1014: Peniche;26848;12834;14014;
;16B1112: Sobral de Monte Agraço;10295;5053;5242;
;16B1113: Torres Vedras;78700;37735;40965;
;16D: Região de Aveiro;363752;172547;191205;
;16D0101: Águeda;46600;22336;24264;
;16D0102: Albergaria-a-Velha;24348;11650;12698;
;16D0103: Anadia;27805;13232;14573;
;16D0105: Aveiro;77241;36042;41199;
;16D0108: Estarreja;26242;12558;13684;
;16D0110: Ílhavo;38406;18089;20317;
;16D0112: Murtosa;10341;4981;5360;
;16D0114: Oliveira do Bairro;23746;11237;12509;
;16D0115: Ovar;54481;25977;28504;
;16D0117: Sever do Vouga;11702;5631;6071;
;16D0118: Vagos;22840;10814;12026;
;16E: Região de Coimbra;439507;206480;233027;
;16E0601: Arganil;11317;5346;5971;
;16E0602: Cantanhede;35606;16869;18737;
;16E0603: Coimbra;134348;62336;72012;
;16E0604: Condeixa-a-Nova;17473;8140;9333;
;16E0605: Figueira da Foz;59956;28168;31788;
;16E0606: Góis;3936;1809;2127;
;16E0607: Lousã;17201;8290;8911;
;16E0111: Mealhada;20095;9475;10620;
;16E0608: Mira;12017;5664;6353;
;16E0609: Miranda do Corvo;12845;6151;6694;
;16E0610: Montemor-o-Velho;25570;12235;13335;
;16E1808: Mortágua;9075;4239;4836;
;16E0611: Oliveira do Hospital;19767;9409;10358;
;16E0612: Pampilhosa da Serra;4112;1896;2216;
;16E0613: Penacova;14200;6624;7576;
;16E0614: Penela;5556;2596;2960;
;16E0615: Soure;17799;8382;9417;
;16E0616: Tábua;11623;5545;6078;
;16E0617: Vila Nova de Poiares;7011;3306;3705;
;16F: Região de Leiria;287770;137295;150475;
;16F1002: Alvaiázere;6789;3150;3639;
;16F1003: Ansião;12449;5849;6600;
;16F1004: Batalha;15835;7545;8290;
;16F1007: Castanheira de Pêra;2736;1259;1477;
;16F1008: Figueiró dos Vinhos;5757;2689;3068;
;16F1009: Leiria;125523;60150;65373;
;16F1010: Marinha Grande;38561;18265;20296;
;16F1013: Pedrógão Grande;3516;1668;1848;
